,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
138,2013-02-21 00:00:00+00:00,265.94,269.48,263.25,265.12,3637400,13.297,13.474,13.1625,13.256,72748000,0.0,1.0
139,2013-02-22 00:00:00+00:00,265.42,267.11,261.61,266.62,3124800,13.271,13.3555,13.0805,13.331,62496000,0.0,1.0
140,2013-02-25 00:00:00+00:00,259.87,268.694,259.65,266.94,3032400,12.9935,13.4347,12.9825,13.347,60648000,0.0,1.0
141,2013-02-26 00:00:00+00:00,259.36,262.04,255.73,260.89,3348600,12.968,13.102,12.7865,13.0445,66972000,0.0,1.0
142,2013-02-27 00:00:00+00:00,263.25,265.83,256.86,259.4,2908100,13.1625,13.2915,12.843,12.97,58162000,0.0,1.0
143,2013-02-28 00:00:00+00:00,264.27,267.0,260.63,261.81,2667200,13.2135,13.35,13.0315,13.0905,53344000,0.0,1.0
144,2013-03-01 00:00:00+00:00,265.74,266.6,261.04,263.27,2957000,13.287,13.33,13.052,13.1635,59140000,0.0,1.0
145,2013-03-04 00:00:00+00:00,273.11,273.3,264.14,265.36,3453000,13.6555,13.665,13.207,13.268,69060000,0.0,1.0
146,2013-03-05 00:00:00+00:00,275.59,276.68,269.99,274.0,3686200,13.7795,13.834,13.4995,13.7,73724000,0.0,1.0
147,2013-03-06 00:00:00+00:00,273.79,276.489,271.832,275.76,2050700,13.6895,13.82445,13.5916,13.788,41014000,0.0,1.0
148,2013-03-07 00:00:00+00:00,273.88,274.8,271.85,274.1,1939000,13.694,13.74,13.5925,13.705,38780000,0.0,1.0
149,2013-03-08 00:00:00+00:00,274.19,275.44,271.5,275.0,1879800,13.7095,13.772,13.575,13.75,37596000,0.0,1.0
150,2013-03-11 00:00:00+00:00,271.24,273.99,270.4,273.43,1904900,13.562,13.6995,13.52,13.6715,38098000,0.0,1.0
151,2013-03-12 00:00:00+00:00,274.13,277.4,270.3601,271.0,3246200,13.7065,13.87,13.518005,13.55,64924000,0.0,1.0
152,2013-03-13 00:00:00+00:00,275.1,276.5,272.64,275.24,1884200,13.755,13.825,13.632,13.762,37684000,0.0,1.0
153,2013-03-14 00:00:00+00:00,265.74,270.0,263.53,269.67,5226700,13.287,13.5,13.1765,13.4835,104534000,0.0,1.0
154,2013-03-15 00:00:00+00:00,261.82,267.26,260.05,264.98,4865900,13.091,13.363,13.0025,13.249,97318000,0.0,1.0
155,2013-03-18 00:00:00+00:00,257.89,261.49,257.12,259.3,2720200,12.8945,13.0745,12.856,12.965,54404000,0.0,1.0
156,2013-03-19 00:00:00+00:00,256.41,259.5,252.62,258.4,3738500,12.8205,12.975,12.631,12.92,74770000,0.0,1.0
157,2013-03-20 00:00:00+00:00,257.278,259.76,254.5501,258.05,2738900,12.8639,12.988,12.727505,12.9025,54778000,0.0,1.0
158,2013-03-21 00:00:00+00:00,253.39,257.0,252.68,256.11,2806400,12.6695,12.85,12.634,12.8055,56128000,0.0,1.0
159,2013-03-22 00:00:00+00:00,257.75,257.77,252.07,254.55,3124600,12.8875,12.8885,12.6035,12.7275,62492000,0.0,1.0
160,2013-03-25 00:00:00+00:00,256.02,259.429,254.5,258.58,2513900,12.801,12.97145,12.725,12.929,50278000,0.0,1.0
161,2013-03-26 00:00:00+00:00,260.31,261.48,256.28,257.05,2421000,13.0155,13.074,12.814,12.8525,48420000,0.0,1.0
162,2013-03-27 00:00:00+00:00,265.3,265.93,257.9,258.75,2874900,13.265,13.2965,12.895,12.9375,57498000,0.0,1.0
163,2013-03-28 00:00:00+00:00,266.49,267.375,264.06,265.82,2473700,13.3245,13.36875,13.203,13.291,49474000,0.0,1.0
164,2013-04-01 00:00:00+00:00,261.61,267.4,261.01,266.98,2524800,13.0805,13.37,13.0505,13.349,50496000,0.0,1.0
165,2013-04-02 00:00:00+00:00,263.322,265.89,260.55,262.4,2631100,13.1661,13.2945,13.0275,13.12,52622000,0.0,1.0
166,2013-04-03 00:00:00+00:00,259.03,263.67,257.75,262.12,2413800,12.9515,13.1835,12.8875,13.106,48276000,0.0,1.0
167,2013-04-04 00:00:00+00:00,259.08,260.41,256.12,259.23,1964400,12.954,13.0205,12.806,12.9615,39288000,0.0,1.0
168,2013-04-05 00:00:00+00:00,255.48,256.18,253.67,255.72,2557400,12.774,12.809,12.6835,12.786,51148000,0.0,1.0
169,2013-04-08 00:00:00+00:00,258.95,259.679,255.63,255.92,2295600,12.9475,12.98395,12.7815,12.796,45912000,0.0,1.0
170,2013-04-09 00:00:00+00:00,261.14,262.61,257.0,258.85,2156600,13.057,13.1305,12.85,12.9425,43132000,0.0,1.0
171,2013-04-10 00:00:00+00:00,264.77,265.98,259.32,261.78,2322500,13.2385,13.299,12.966,13.089,46450000,0.0,1.0
172,2013-04-11 00:00:00+00:00,269.85,270.97,264.74,264.74,3090500,13.4925,13.5485,13.237,13.237,61810000,0.0,1.0
173,2013-04-12 00:00:00+00:00,272.87,273.27,267.02,270.12,2866300,13.6435,13.6635,13.351,13.506,57326000,0.0,1.0
174,2013-04-15 00:00:00+00:00,267.72,275.12,267.1,271.08,3326000,13.386,13.756,13.355,13.554,66520000,0.0,1.0
175,2013-04-16 00:00:00+00:00,272.34,272.8,268.06,269.31,2137200,13.617,13.64,13.403,13.4655,42744000,0.0,1.0
176,2013-04-17 00:00:00+00:00,267.4,270.85,264.25,270.8,3135100,13.37,13.5425,13.2125,13.54,62702000,0.0,1.0
177,2013-04-18 00:00:00+00:00,259.42,266.9899,256.6,266.81,3137600,12.971,13.349495,12.83,13.3405,62752000,0.0,1.0
178,2013-04-19 00:00:00+00:00,260.32,262.88,257.5,258.16,2602500,13.016,13.144,12.875,12.908,52050000,0.0,1.0
179,2013-04-22 00:00:00+00:00,263.55,264.6,258.03,259.35,2119100,13.1775,13.23,12.9015,12.9675,42382000,0.0,1.0
180,2013-04-23 00:00:00+00:00,268.9,269.87,264.5,264.5,2270600,13.445,13.4935,13.225,13.225,45412000,0.0,1.0
181,2013-04-24 00:00:00+00:00,268.78,271.47,266.81,269.5,1852800,13.439,13.5735,13.3405,13.475,37056000,0.0,1.0
182,2013-04-25 00:00:00+00:00,274.7,275.8,270.5,271.53,6116500,13.735,13.79,13.525,13.5765,122330000,0.0,1.0
183,2013-04-26 00:00:00+00:00,254.81,272.02,252.81,269.97,14030000,12.7405,13.601,12.6405,13.4985,280600000,0.0,1.0
184,2013-04-29 00:00:00+00:00,249.74,257.01,249.15,254.9,7117000,12.487,12.8505,12.4575,12.745,142340000,0.0,1.0
185,2013-04-30 00:00:00+00:00,253.81,254.68,248.56,249.3701,4248800,12.6905,12.734,12.428,12.468505,84976000,0.0,1.0
186,2013-05-01 00:00:00+00:00,248.23,254.2,245.75,253.9,4391400,12.4115,12.71,12.2875,12.695,87828000,0.0,1.0
187,2013-05-02 00:00:00+00:00,252.55,252.93,245.78,248.94,3936200,12.6275,12.6465,12.289,12.447,78724000,0.0,1.0
188,2013-05-03 00:00:00+00:00,258.05,259.25,254.7,256.14,3514000,12.9025,12.9625,12.735,12.807,70280000,0.0,1.0
189,2013-05-06 00:00:00+00:00,255.72,259.5,253.4201,258.09,2347800,12.786,12.975,12.671005,12.9045,46956000,0.0,1.0
190,2013-05-07 00:00:00+00:00,257.73,259.74,252.9101,256.31,3133700,12.8865,12.987,12.645505,12.8155,62674000,0.0,1.0
191,2013-05-08 00:00:00+00:00,258.68,260.295,255.334,256.87,2677000,12.934,13.01475,12.7667,12.8435,53540000,0.0,1.0
192,2013-05-09 00:00:00+00:00,260.16,263.55,256.88,258.73,2769300,13.008,13.1775,12.844,12.9365,55386000,0.0,1.0
193,2013-05-10 00:00:00+00:00,263.63,263.65,260.21,260.88,3145300,13.1815,13.1825,13.0105,13.044,62906000,0.0,1.0
194,2013-05-13 00:00:00+00:00,264.51,265.88,262.0,262.77,2149500,13.2255,13.294,13.1,13.1385,42990000,0.0,1.0
195,2013-05-14 00:00:00+00:00,268.33,269.4,264.028,264.5,2700000,13.4165,13.47,13.2014,13.225,54000000,0.0,1.0
196,2013-05-15 00:00:00+00:00,266.56,269.05,264.56,267.07,2720500,13.328,13.4525,13.228,13.3535,54410000,0.0,1.0
197,2013-05-16 00:00:00+00:00,264.12,268.43,263.85,265.96,1643500,13.206,13.4215,13.1925,13.298,32870000,0.0,1.0
198,2013-05-17 00:00:00+00:00,269.9,269.98,265.0,265.83,2527300,13.495,13.499,13.25,13.2915,50546000,0.0,1.0
199,2013-05-20 00:00:00+00:00,267.63,271.79,266.5,269.0,2209000,13.3815,13.5895,13.325,13.45,44180000,0.0,1.0
200,2013-05-21 00:00:00+00:00,268.86,270.77,267.66,268.74,1741200,13.443,13.5385,13.383,13.437,34824000,0.0,1.0
201,2013-05-22 00:00:00+00:00,262.96,267.59,260.8,267.39,3332000,13.148,13.3795,13.04,13.3695,66640000,0.0,1.0
202,2013-05-23 00:00:00+00:00,261.8,263.17,259.59,260.49,2000300,13.09,13.1585,12.9795,13.0245,40006000,0.0,1.0
203,2013-05-24 00:00:00+00:00,261.74,261.93,258.34,259.85,1696300,13.087,13.0965,12.917,12.9925,33926000,0.0,1.0
204,2013-05-28 00:00:00+00:00,267.29,271.1,266.0,266.48,3471000,13.3645,13.555,13.3,13.324,69420000,0.0,1.0
205,2013-05-29 00:00:00+00:00,265.53,268.25,264.844,265.46,1903400,13.2765,13.4125,13.2422,13.273,38068000,0.0,1.0
206,2013-05-30 00:00:00+00:00,266.83,268.57,265.615,265.71,1667500,13.3415,13.4285,13.28075,13.2855,33350000,0.0,1.0
207,2013-05-31 00:00:00+00:00,269.2,271.91,265.94,266.0,3374300,13.46,13.5955,13.297,13.3,67486000,0.0,1.0
208,2013-06-03 00:00:00+00:00,266.88,269.11,262.95,268.96,2543900,13.344,13.4555,13.1475,13.448,50878000,0.0,1.0
209,2013-06-04 00:00:00+00:00,265.7,268.88,263.02,267.0,2088600,13.285,13.444,13.151,13.35,41772000,0.0,1.0
210,2013-06-05 00:00:00+00:00,267.17,271.66,265.02,265.81,3512300,13.3585,13.583,13.251,13.2905,70246000,0.0,1.0
211,2013-06-06 00:00:00+00:00,267.83,270.5,264.21,267.75,2476300,13.3915,13.525,13.2105,13.3875,49526000,0.0,1.0
212,2013-06-07 00:00:00+00:00,276.87,280.1,269.13,269.74,4632600,13.8435,14.005,13.4565,13.487,92652000,0.0,1.0
213,2013-06-10 00:00:00+00:00,281.07,282.47,275.24,276.68,3086500,14.0535,14.1235,13.762,13.834,61730000,0.0,1.0
214,2013-06-11 00:00:00+00:00,274.78,278.411,274.24,276.0,3097800,13.739,13.92055,13.712,13.8,61956000,0.0,1.0
215,2013-06-12 00:00:00+00:00,271.67,276.8,270.45,276.6,2238900,13.5835,13.84,13.5225,13.83,44778000,0.0,1.0
216,2013-06-13 00:00:00+00:00,275.79,276.8,270.2901,271.5,2649800,13.7895,13.84,13.514505,13.575,52996000,0.0,1.0
217,2013-06-14 00:00:00+00:00,273.99,277.07,273.442,275.0,2150800,13.6995,13.8535,13.6721,13.75,43016000,0.0,1.0
218,2013-06-17 00:00:00+00:00,278.06,280.2,275.65,276.35,2884000,13.903,14.01,13.7825,13.8175,57680000,0.0,1.0
219,2013-06-18 00:00:00+00:00,281.76,282.91,278.11,279.08,2146100,14.088,14.1455,13.9055,13.954,42922000,0.0,1.0
220,2013-06-19 00:00:00+00:00,278.16,283.34,277.87,281.26,2827500,13.908,14.167,13.8935,14.063,56550000,0.0,1.0
